L2,L3,over,ball,batsman_NA,bowler_NA,extras_legbyes,extras_wides,non_striker_NA,replacements_role,runs_batsman,runs_extras,runs_total,wicket_fielders,wicket_kind,wicket_player_out
1,1st innings,1,1,BB McCullum,B Lee,,,ML Hayden,,0,0,0,,,
1,1st innings,1,2,BB McCullum,B Lee,,,ML Hayden,,0,0,0,,,
1,1st innings,1,3,BB McCullum,B Lee,,,ML Hayden,,4,0,4,,,
1,1st innings,1,4,BB McCullum,B Lee,,,ML Hayden,,0,0,0,,,
1,1st innings,1,5,BB McCullum,B Lee,,,ML Hayden,,0,0,0,,,
1,1st innings,1,6,BB McCullum,B Lee,,,ML Hayden,,0,0,0,,,
1,1st innings,2,1,ML Hayden,MA Starc,,,BB McCullum,,0,0,0,,,
1,1st innings,2,2,ML Hayden,MA Starc,,,BB McCullum,,0,0,0,,,
1,1st innings,2,3,ML Hayden,MA Starc,,,BB McCullum,,4,0,4,,,
1,1st innings,2,4,ML Hayden,MA Starc,,,BB McCullum,,4,0,4,,,
1,1st innings,2,5,ML Hayden,MA Starc,,,BB McCullum,,0,0,0,,,
1,1st innings,2,6,ML Hayden,MA Starc,,,BB McCullum,,0,0,0,,,
1,1st innings,3,1,BB McCullum,B Lee,,,ML Hayden,,0,0,0,,,
1,1st innings,3,2,BB McCullum,B Lee,,,ML Hayden,,0,0,0,,,
1,1st innings,3,3,JR Hopes,B Lee,,,ML Hayden,JR Hopes/BB McCullum/injury/batter,0,0,0,,,
1,1st innings,3,4,JR Hopes,B Lee,,,ML Hayden,,0,0,0,,,
1,1st innings,3,5,JR Hopes,B Lee,,,ML Hayden,,0,0,0,,,
1,1st innings,3,6,JR Hopes,B Lee,,,ML Hayden,,1,0,1,,,
1,1st innings,4,1,JR Hopes,MA Starc,,,ML Hayden,,4,0,4,,,
1,1st innings,4,2,JR Hopes,MA Starc,,,ML Hayden,,0,0,0,,,
1,1st innings,4,3,JR Hopes,MA Starc,,,ML Hayden,,0,0,0,,,
1,1st innings,4,4,JR Hopes,MA Starc,,,ML Hayden,,0,0,0,,,
1,1st innings,4,5,JR Hopes,MA Starc,,,ML Hayden,,0,0,0,,,
1,1st innings,4,6,JR Hopes,MA Starc,,1,ML Hayden,,0,1,1,,,
1,1st innings,4,7,JR Hopes,MA Starc,,,ML Hayden,,0,0,0,,,
1,1st innings,5,1,ML Hayden,B Lee,,,JR Hopes,,4,0,4,,,
1,1st innings,5,2,ML Hayden,B Lee,,,JR Hopes,,1,0,1,,,
1,1st innings,5,3,JR Hopes,B Lee,,,ML Hayden,,0,0,0,,,
1,1st innings,5,4,JR Hopes,B Lee,,,ML Hayden,,0,0,0,,,
1,1st innings,5,5,JR Hopes,B Lee,,,ML Hayden,,4,0,4,,,
