L2,L3,over,ball,batsman_NA,bowler_NA,extras_byes,extras_legbyes,extras_wides,non_striker_NA,runs_batsman,runs_extras,runs_total,wicket_fielders,wicket_kind,wicket_player_out
1,1st innings,1,1,SC Ganguly,P Kumar,,1,,BB McCullum,0,1,1,,,
1,1st innings,1,2,BB McCullum,P Kumar,,,,SC Ganguly,0,0,0,,,
1,1st innings,1,3,BB McCullum,P Kumar,,,1,SC Ganguly,0,1,1,,,
1,1st innings,1,4,BB McCullum,P Kumar,,,,SC Ganguly,0,0,0,,,
1,1st innings,1,5,BB McCullum,P Kumar,,,,SC Ganguly,0,0,0,,,
1,1st innings,1,6,BB McCullum,P Kumar,,,,SC Ganguly,0,0,0,,,
1,1st innings,1,7,BB McCullum,P Kumar,,1,,SC Ganguly,0,1,1,,,
1,1st innings,2,1,BB McCullum,Z Khan,,,,SC Ganguly,0,0,0,,,
1,1st innings,2,2,BB McCullum,Z Khan,,,,SC Ganguly,4,0,4,,,
1,1st innings,2,3,BB McCullum,Z Khan,,,,SC Ganguly,4,0,4,,,
1,1st innings,2,4,BB McCullum,Z Khan,,,,SC Ganguly,6,0,6,,,
1,1st innings,2,5,BB McCullum,Z Khan,,,,SC Ganguly,4,0,4,,,
1,1st innings,2,6,BB McCullum,Z Khan,,,,SC Ganguly,0,0,0,,,
1,1st innings,3,1,SC Ganguly,P Kumar,,,,BB McCullum,0,0,0,,,
1,1st innings,3,2,SC Ganguly,P Kumar,,,,BB McCullum,0,0,0,,,
1,1st innings,3,3,SC Ganguly,P Kumar,,1,,BB McCullum,0,1,1,,,
1,1st innings,3,4,BB McCullum,P Kumar,,,,SC Ganguly,4,0,4,,,
1,1st innings,3,5,BB McCullum,P Kumar,,,,SC Ganguly,1,0,1,,,
1,1st innings,3,6,SC Ganguly,P Kumar,,,,BB McCullum,0,0,0,,,
1,1st innings,4,1,BB McCullum,AA Noffke,,,5,SC Ganguly,0,5,5,,,
1,1st innings,4,2,BB McCullum,AA Noffke,,,,SC Ganguly,6,0,6,,,
1,1st innings,4,3,BB McCullum,AA Noffke,,1,,SC Ganguly,0,1,1,,,
1,1st innings,4,4,SC Ganguly,AA Noffke,,,,BB McCullum,4,0,4,,,
1,1st innings,4,5,SC Ganguly,AA Noffke,,,,BB McCullum,0,0,0,,,
1,1st innings,4,6,SC Ganguly,AA Noffke,,,,BB McCullum,1,0,1,,,
1,1st innings,4,7,BB McCullum,AA Noffke,,,,SC Ganguly,6,0,6,,,
1,1st innings,5,1,SC Ganguly,P Kumar,,,,BB McCullum,4,0,4,,,
1,1st innings,5,2,SC Ganguly,P Kumar,,,,BB McCullum,1,0,1,,,
1,1st innings,5,3,BB McCullum,P Kumar,,,,SC Ganguly,4,0,4,,,
1,1st innings,5,4,BB McCullum,P Kumar,,,,SC Ganguly,0,0,0,,,
1,1st innings,5,5,BB McCullum,P Kumar,,,,SC Ganguly,1,0,1,,,
1,1st innings,5,6,SC Ganguly,P Kumar,,,,BB McCullum,0,0,0,,,
1,1st innings,6,1,BB McCullum,Z Khan,,,,SC Ganguly,1,0,1,,,
1,1st innings,6,2,SC Ganguly,Z Khan,,,,BB McCullum,0,0,0,JH Kallis,caught,SC Ganguly
1,1st innings,6,3,RT Ponting,Z Khan,,,,BB McCullum,0,0,0,,,
1,1st innings,6,4,RT Ponting,Z Khan,,,,BB McCullum,0,0,0,,,
1,1st innings,6,5,RT Ponting,Z Khan,,,,BB McCullum,0,0,0,,,
1,1st innings,6,6,RT Ponting,Z Khan,,,,BB McCullum,0,0,0,,,
1,1st innings,7,1,BB McCullum,AA Noffke,,,,RT Ponting,1,0,1,,,
1,1st innings,7,2,RT Ponting,AA Noffke,,,,BB McCullum,1,0,1,,,
1,1st innings,7,3,BB McCullum,AA Noffke,,,,RT Ponting,1,0,1,,,
1,1st innings,7,4,RT Ponting,AA Noffke,,,,BB McCullum,2,0,2,,,
1,1st innings,7,5,RT Ponting,AA Noffke,,,,BB McCullum,1,0,1,,,
1,1st innings,7,6,BB McCullum,AA Noffke,,,,RT Ponting,1,0,1,,,
1,1st innings,8,1,BB McCullum,Z Khan,,,,RT Ponting,0,0,0,,,
1,1st innings,8,2,BB McCullum,Z Khan,,,,RT Ponting,1,0,1,,,
1,1st innings,8,3,RT Ponting,Z Khan,,,,BB McCullum,1,0,1,,,
1,1st innings,8,4,BB McCullum,Z Khan,,,,RT Ponting,1,0,1,,,
1,1st innings,8,5,RT Ponting,Z Khan,,,,BB McCullum,1,0,1,,,
1,1st innings,8,6,BB McCullum,Z Khan,,,,RT Ponting,1,0,1,,,
1,1st innings,9,1,BB McCullum,JH Kallis,,,,RT Ponting,0,0,0,,,
1,1st innings,9,2,BB McCullum,JH Kallis,,,,RT Ponting,0,0,0,,,
1,1st innings,9,3,BB McCullum,JH Kallis,,,,RT Ponting,0,0,0,,,
1,1st innings,9,4,BB McCullum,JH Kallis,,,,RT Ponting,1,0,1,,,
1,1st innings,9,5,RT Ponting,JH Kallis,,,,BB McCullum,1,0,1,,,
1,1st innings,9,6,BB McCullum,JH Kallis,,,,RT Ponting,2,0,2,,,
1,1st innings,10,1,RT Ponting,SB Joshi,,,,BB McCullum,1,0,1,,,
1,1st innings,10,2,BB McCullum,SB Joshi,,,,RT Ponting,1,0,1,,,
