L2,L3,over,ball,batsman_NA,bowler_NA,extras_legbyes,extras_wides,non_striker_NA,runs_batsman,runs_extras,runs_total,wicket_fielders,wicket_kind,wicket_player_out
1,1st innings,1,1,AC Gilchrist,DR Tuffey,,1,MJ Clarke,0,1,1,,,
1,1st innings,1,2,AC Gilchrist,DR Tuffey,1,,MJ Clarke,0,1,1,,,
1,1st innings,1,3,MJ Clarke,DR Tuffey,,,AC Gilchrist,0,0,0,,,
1,1st innings,1,4,MJ Clarke,DR Tuffey,,,AC Gilchrist,1,0,1,,,
1,1st innings,1,5,AC Gilchrist,DR Tuffey,,,MJ Clarke,1,0,1,,,
1,1st innings,1,6,MJ Clarke,DR Tuffey,,,AC Gilchrist,6,0,6,,,
1,1st innings,1,7,MJ Clarke,DR Tuffey,,,AC Gilchrist,0,0,0,CD McMillan,caught,MJ Clarke
1,1st innings,2,1,A Symonds,KD Mills,,,AC Gilchrist,0,0,0,,,
1,1st innings,2,2,A Symonds,KD Mills,,,AC Gilchrist,4,0,4,,,
1,1st innings,2,3,A Symonds,KD Mills,,,AC Gilchrist,6,0,6,,,
1,1st innings,2,4,A Symonds,KD Mills,,,AC Gilchrist,1,0,1,,,
1,1st innings,2,5,AC Gilchrist,KD Mills,,,A Symonds,0,0,0,CD McMillan,caught,AC Gilchrist
1,1st innings,2,6,RT Ponting,KD Mills,,,A Symonds,1,0,1,,,
1,1st innings,3,1,RT Ponting,DR Tuffey,,,A Symonds,0,0,0,,,
1,1st innings,3,2,RT Ponting,DR Tuffey,,,A Symonds,0,0,0,,,
1,1st innings,3,3,RT Ponting,DR Tuffey,1,,A Symonds,0,1,1,,,
1,1st innings,3,4,A Symonds,DR Tuffey,,,RT Ponting,2,0,2,,,
1,1st innings,3,5,A Symonds,DR Tuffey,,,RT Ponting,0,0,0,,,
1,1st innings,3,6,A Symonds,DR Tuffey,,,RT Ponting,1,0,1,,,
1,1st innings,4,1,A Symonds,KD Mills,,,RT Ponting,4,0,4,,,
1,1st innings,4,2,A Symonds,KD Mills,,1,RT Ponting,0,1,1,,,
1,1st innings,4,3,A Symonds,KD Mills,,,RT Ponting,6,0,6,,,
1,1st innings,4,4,A Symonds,KD Mills,,,RT Ponting,4,0,4,,,
1,1st innings,4,5,A Symonds,KD Mills,,,RT Ponting,4,0,4,,,
1,1st innings,4,6,A Symonds,KD Mills,,,RT Ponting,0,0,0,,,
1,1st innings,4,7,A Symonds,KD Mills,,1,RT Ponting,0,1,1,,,
1,1st innings,4,8,A Symonds,KD Mills,,,RT Ponting,0,0,0,BB McCullum,caught,A Symonds
1,1st innings,5,1,RT Ponting,DR Tuffey,,,DR Martyn,4,0,4,,,
1,1st innings,5,2,RT Ponting,DR Tuffey,,,DR Martyn,1,0,1,,,
1,1st innings,5,3,DR Martyn,DR Tuffey,,,RT Ponting,0,0,0,,,
1,1st innings,5,4,DR Martyn,DR Tuffey,,,RT Ponting,0,0,0,,,
1,1st innings,5,5,DR Martyn,DR Tuffey,,,RT Ponting,2,0,2,,,
1,1st innings,5,6,DR Martyn,DR Tuffey,,,RT Ponting,1,0,1,,,
1,1st innings,6,1,DR Martyn,KD Mills,,,RT Ponting,0,0,0,,bowled,DR Martyn
